hour,sol_Pnet_pcc,sol_Pgrid_imp,sol_Pgrid_exp,sol_Ppv1,sol_Ppv2,sol_Ppv3,sol_E_bat1,sol_Pch_bat1,sol_Pdis_bat1,sol_E_bat2,sol_Pch_bat2,sol_Pdis_bat2,sol_E_bat3,sol_Pch_bat3,sol_Pdis_bat3,sol_Pnet_house1,sol_Pnet_house2,sol_Pnet_house3,sol_Pgrid_house_imp1,sol_Pgrid_house_imp2,sol_Pgrid_house_imp3,sol_Pgrid_house_exp1,sol_Pgrid_house_exp2,sol_Pgrid_house_exp3,sol_cost_house_step1,sol_cost_house_step2,sol_cost_house_step3,vec_objective_Value
0.5,1.14,1.14,0.0,0.0,0.0,0.0,0.8,0.0,0.0,1.2,0.0,0.0,1.6,0.0,0.0,0.452,0.5,0.188,0.452,0.5,0.188,0.0,0.0,0.0,2.337,2.586,0.972,219.764
1.0,0.764,0.764,0.0,0.0,0.0,0.0,0.8,0.0,0.0,1.2,0.0,0.0,1.6,0.0,0.0,0.32,0.352,0.092,0.32,0.352,0.092,0.0,0.0,0.0,1.692,1.861,0.486,0.0
1.5,0.916,0.916,0.0,0.0,0.0,0.0,0.8,0.0,0.0,1.2,0.0,0.0,1.6,0.0,0.0,0.372,0.36,0.184,0.372,0.36,0.184,0.0,0.0,0.0,1.984,1.92,0.981,0.0
2.0,0.524,0.524,0.0,0.0,0.0,0.0,0.8,0.0,0.0,1.2,0.0,0.0,1.6,0.0,0.0,0.208,0.232,0.084,0.208,0.232,0.084,0.0,0.0,0.0,1.059,1.181,0.428,0.0
2.5,0.88,0.88,0.0,0.0,0.0,0.0,0.8,0.0,0.0,1.2,0.0,0.0,1.6,0.0,0.0,0.3,0.392,0.188,0.3,0.392,0.188,0.0,0.0,0.0,1.521,1.988,0.953,0.0
3.0,1.016,1.016,0.0,0.0,0.0,0.0,0.8,0.0,0.0,1.2,0.0,0.0,1.6,0.0,0.0,0.376,0.548,0.092,0.376,0.548,0.092,0.0,0.0,0.0,1.917,2.794,0.469,0.0
3.5,0.58,0.58,0.0,0.0,0.0,0.0,0.8,0.0,0.0,1.2,0.0,0.0,1.6,0.0,0.0,0.208,0.188,0.184,0.208,0.188,0.184,0.0,0.0,0.0,1.109,1.003,0.981,0.0
4.0,0.712,0.712,0.0,0.0,0.0,0.0,0.8,0.0,0.0,1.2,0.0,0.0,1.6,0.0,0.0,0.276,0.352,0.084,0.276,0.352,0.084,0.0,0.0,0.0,1.381,1.761,0.42,0.0
4.5,0.728,0.728,0.0,0.0,0.0,0.0,0.8,0.0,0.0,1.2,0.0,0.0,1.6,0.0,0.0,0.308,0.22,0.2,0.308,0.22,0.2,0.0,0.0,0.0,1.528,1.091,0.992,0.0
5.0,1.236,1.236,0.0,0.0,0.0,0.0,0.8,0.0,0.0,1.2,0.0,0.0,1.6,0.0,0.0,0.136,1.016,0.084,0.136,1.016,0.084,0.0,0.0,0.0,0.675,5.041,0.417,0.0
5.5,4.768,4.768,0.0,0.0,0.0,0.0,0.8,0.0,0.0,1.2,0.0,0.0,3.255,3.484,0.0,0.196,0.9,3.672,0.196,0.9,3.672,0.0,0.0,0.0,0.972,4.465,18.216,0.0
6.0,3.384,3.384,0.0,0.01,0.0,0.03,0.8,0.0,0.0,1.2,0.0,0.0,3.255,0.0,0.0,0.314,0.248,2.822,0.314,0.248,2.822,0.0,0.0,0.0,1.592,1.258,14.312,0.0
6.5,0.0,0.0,0.0,0.02,0.0,0.06,0.8,0.0,0.0,0.6,0.0,1.14,1.701,0.0,2.952,0.104,-0.116,0.012,0.104,0.0,0.012,0.0,0.116,0.0,0.615,-0.282,0.071,0.0
7.0,0.0,0.0,0.0,0.084,0.0,0.252,0.4,0.0,0.76,0.6,0.0,0.0,1.101,0.0,1.14,-0.652,0.7,-0.048,0.0,0.7,0.0,0.652,0.0,0.048,-1.46,4.09,-0.108,0.0
7.5,0.0,0.0,0.0,0.148,0.0,0.444,0.4,0.0,0.0,0.6,0.0,0.0,0.8,0.0,0.572,0.176,0.668,-0.844,0.176,0.668,0.0,0.0,0.0,0.844,0.973,3.693,-2.118,0.0
8.0,0.0,0.0,0.0,0.218,0.0,0.654,0.455,0.115,0.0,0.6,0.0,0.0,0.882,0.173,0.0,0.033,0.344,-0.377,0.033,0.344,0.0,0.0,0.0,0.377,0.204,2.113,-1.041,0.0
8.5,0.0,0.0,0.0,0.288,0.0,0.864,0.455,0.0,0.0,0.6,0.0,0.0,0.8,0.0,0.156,0.684,0.152,-0.836,0.684,0.152,0.0,0.0,0.0,0.836,4.223,0.938,-2.508,0.0
9.0,0.0,0.0,0.0,0.38,0.0,1.14,0.599,0.304,0.0,0.6,0.0,0.0,0.8,0.0,0.0,0.58,0.468,-1.048,0.58,0.468,0.0,0.0,0.0,1.048,3.864,3.118,-2.782,0.0
9.5,0.0,0.0,0.0,0.472,0.0,1.416,0.599,0.0,0.0,0.97,0.78,0.0,0.8,0.0,0.0,-0.096,1.328,-1.232,0.0,1.328,0.0,0.096,0.0,1.232,-0.265,9.405,-3.4,0.0
