hour,sol_Pnet_pcc,sol_Pgrid_imp,sol_Pgrid_exp,sol_Ppv1,sol_Ppv2,sol_Ppv3,sol_E_bat1,sol_Pch_bat1,sol_Pdis_bat1,sol_E_bat2,sol_Pch_bat2,sol_Pdis_bat2,sol_E_bat3,sol_Pch_bat3,sol_Pdis_bat3,sol_Pnet_house1,sol_Pnet_house2,sol_Pnet_house3,sol_Pgrid_house_imp1,sol_Pgrid_house_imp2,sol_Pgrid_house_imp3,sol_Pgrid_house_exp1,sol_Pgrid_house_exp2,sol_Pgrid_house_exp3,sol_cost_house_step1,sol_cost_house_step2,sol_cost_house_step3,vec_objective_Value
0.5,1.14,1.14,0.0,0.0,0.0,0.0,0.8,0.0,0.0,1.2,0.0,0.0,1.6,0.0,0.0,0.452,0.5,0.188,0.452,0.5,0.188,0.0,0.0,0.0,2.337,2.586,0.972,95.276
1.0,0.764,0.764,0.0,0.0,0.0,0.0,0.8,0.0,0.0,1.2,0.0,0.0,1.6,0.0,0.0,0.32,0.352,0.092,0.32,0.352,0.092,0.0,0.0,0.0,1.692,1.861,0.486,157.503
1.5,0.916,0.916,0.0,0.0,0.0,0.0,0.8,0.0,0.0,1.2,0.0,0.0,1.6,0.0,0.0,0.372,0.36,0.184,0.372,0.36,0.184,0.0,0.0,0.0,1.984,1.92,0.981,-9.219
2.0,0.524,0.524,0.0,0.0,0.0,0.0,0.8,0.0,0.0,1.2,0.0,0.0,1.6,0.0,0.0,0.208,0.232,0.084,0.208,0.232,0.084,0.0,0.0,0.0,1.059,1.181,0.428,0.0
2.5,0.88,0.88,0.0,0.0,0.0,0.0,0.8,0.0,0.0,1.2,0.0,0.0,1.6,0.0,0.0,0.3,0.392,0.188,0.3,0.392,0.188,0.0,0.0,0.0,1.521,1.988,0.953,0.0
3.0,1.016,1.016,0.0,0.0,0.0,0.0,0.8,0.0,0.0,1.2,0.0,0.0,1.6,0.0,0.0,0.376,0.548,0.092,0.376,0.548,0.092,0.0,0.0,0.0,1.917,2.794,0.469,0.0
3.5,0.58,0.58,0.0,0.0,0.0,0.0,0.8,0.0,0.0,1.2,0.0,0.0,1.6,0.0,0.0,0.208,0.188,0.184,0.208,0.188,0.184,0.0,0.0,0.0,1.109,1.003,0.981,0.0
4.0,0.712,0.712,0.0,0.0,0.0,0.0,0.8,0.0,0.0,1.2,0.0,0.0,1.6,0.0,0.0,0.276,0.352,0.084,0.276,0.352,0.084,0.0,0.0,0.0,1.381,1.761,0.42,0.0
4.5,8.538,8.538,0.0,0.0,0.0,0.0,1.75,2.0,0.0,2.625,3.0,0.0,2.935,2.81,0.0,2.308,3.22,3.01,2.308,3.22,3.01,0.0,0.0,0.0,11.451,15.975,14.933,0.0
5.0,6.236,6.236,0.0,0.0,0.0,0.0,2.7,2.0,0.0,4.05,3.0,0.0,2.935,0.0,0.0,2.136,4.016,0.084,2.136,4.016,0.084,0.0,0.0,0.0,10.597,19.924,0.417,0.0
5.5,6.284,6.284,0.0,0.0,0.0,0.0,3.65,2.0,0.0,5.475,3.0,0.0,2.935,0.0,0.0,2.196,3.9,0.188,2.196,3.9,0.188,0.0,0.0,0.0,10.895,19.349,0.933,0.0
6.0,3.384,3.384,0.0,0.01,0.0,0.03,3.65,0.0,0.0,5.475,0.0,0.0,2.935,0.0,0.0,0.314,0.248,2.822,0.314,0.248,2.822,0.0,0.0,0.0,1.592,1.258,14.312,0.0
6.5,0.0,0.0,0.0,0.02,0.0,0.06,3.595,0.0,0.104,4.936,0.0,1.024,1.375,0.0,2.964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.084,0.0,0.252,3.538,0.0,0.108,4.568,0.0,0.7,0.8,0.0,1.092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.5,0.0,0.0,0.0,0.148,0.0,0.444,3.446,0.0,0.176,4.216,0.0,0.668,0.929,0.272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,-0.55,0.0,0.55,0.218,0.0,0.654,3.485,0.082,0.0,4.035,0.0,0.344,0.929,0.0,0.0,0.0,0.0,-0.55,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,-1.518,0.0
8.5,-0.925,0.0,0.925,0.288,0.0,0.864,3.125,0.0,0.684,3.955,0.0,0.152,0.8,0.0,0.245,0.0,0.0,-0.925,0.0,0.0,0.0,0.0,0.0,0.925,0.0,0.0,-2.776,0.0
9.0,-1.048,0.0,1.048,0.38,0.0,1.14,2.979,0.0,0.276,3.709,0.0,0.468,0.8,0.0,0.0,0.0,0.0,-1.048,0.0,0.0,0.0,0.0,0.0,1.048,0.0,0.0,-2.782,0.0
9.5,-1.232,0.0,1.232,0.472,0.0,1.416,3.025,0.096,0.0,3.42,0.0,0.548,0.8,0.0,0.0,0.0,0.0,-1.232,0.0,0.0,0.0,0.0,0.0,1.232,0.0,0.0,-3.4,0.0
10.0,-1.774,0.0,1.774,0.626,0.0,1.878,2.847,0.0,0.338,3.189,0.0,0.44,0.8,0.0,0.0,0.0,0.0,-1.774,0.0,0.0,0.0,0.0,0.0,1.774,0.0,0.0,-4.311,0.0
10.5,-0.92,0.0,0.92,0.78,0.0,2.34,1.929,0.0,1.744,2.704,0.0,0.92,1.398,1.26,0.0,0.0,0.0,-0.92,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.0,-2.029,0.0
11.0,0.328,0.328,0.0,0.898,0.0,2.694,1.944,0.03,0.0,2.704,0.0,0.0,2.623,2.578,0.0,0.0,0.328,0.0,0.0,0.328,0.0,0.0,0.0,0.0,0.0,1.808,0.0,0.0
11.5,0.868,0.868,0.0,1.016,0.0,3.048,2.134,0.4,0.0,2.704,0.0,0.0,4.001,2.9,0.0,0.0,0.868,0.0,0.0,0.868,0.0,0.0,0.0,0.0,0.0,4.593,0.0,0.0
12.0,0.88,0.88,0.0,0.882,0.0,2.646,2.437,0.638,0.0,2.704,0.0,0.0,5.193,2.51,0.0,0.0,0.88,0.0,0.0,0.88,0.0,0.0,0.0,0.0,0.0,4.657,0.0,0.0
12.5,0.788,0.788,0.0,0.748,0.0,2.244,2.452,0.032,0.0,2.704,0.0,0.0,6.205,2.132,0.0,0.0,0.788,0.0,0.0,0.788,0.0,0.0,0.0,0.0,0.0,4.265,0.0,0.0
13.0,1.996,1.996,0.0,0.528,0.0,1.584,2.452,0.0,0.0,2.704,0.0,0.0,6.876,1.412,0.0,0.076,1.92,0.0,0.076,1.92,0.0,0.0,0.0,0.0,0.411,10.372,0.0,0.0
